name,ts,lec_seats,lab_seats,disc_seats,sem_seats,WL,min_indx,Open
EECS 452 - Digital Signal Processing Design Laboratory,1586250921.723256,29,29,0,0,0,lab_seats,1
EECS 455 - Wireless Communication Systems,1586250922.095221,25,0,25,0,0,disc_seats,1
EECS 458 - Biomedical Instrumentation and Design,1586250922.5223749,81,81,0,0,0,lab_seats,1
EECS 460 - Control Systems Analysis and Design,1586250922.895489,47,0,47,0,0,disc_seats,1
EECS 461 - Embedded Control Systems,1586250923.633153,96,96,0,0,0,lab_seats,1
EECS 463 - Power Systems Design and Operations,1586250924.426071,37,0,0,0,0,lec_seats,1
EECS 467 - Autonomous Robotics Design Experience,1586250925.289581,27,27,0,0,0,lab_seats,1
EECS 470 - Computer Architecture,1586250926.350389,42,42,0,0,0,lab_seats,1
EECS 473 - Advanced Embedded Systems,1586250927.2837849,42,42,0,0,0,lab_seats,1
EECS 477 - Introduction to Algorithms,1586250927.679735,77,0,77,0,0,disc_seats,1
EECS 478 - Logic Circuit Synthesis and Optimization,1586250928.0698829,50,0,50,0,0,disc_seats,1
EECS 480 - Social Computing Systems,1586250928.461432,42,0,42,0,0,disc_seats,1
EECS 481 - Software Engineering,1586250928.845152,147,0,147,0,0,disc_seats,1
EECS 482 - Introduction to Operating Systems,1586250929.2813408,233,233,0,0,0,lab_seats,1
EECS 483 - Compiler Construction,1586250929.667918,70,0,0,0,0,lec_seats,1
EECS 484 - Database Management Systems,1586250930.144353,340,0,340,0,0,disc_seats,1
EECS 485 - Web Systems,1586250930.61874,494,414,0,0,0,lab_seats,1
EECS 489 - Computer Networks,1586250931.034624,109,0,109,0,0,disc_seats,1
EECS 490 - Programming Languages,1586250931.453676,154,0,154,0,0,disc_seats,1
EECS 492 - Introduction to Artificial Intelligence,1586250931.8401952,149,0,149,0,0,disc_seats,1
EECS 493 - User Interface Development,1586250932.2642329,217,0,217,0,0,disc_seats,1
EECS 494 - Computer Game Design and Development,1586250932.649732,72,0,0,0,0,lec_seats,1
EECS 495 - Software Development for Accessibility,1586250933.020189,58,0,58,0,0,disc_seats,1
EECS 496 - Major Design Experience-Professionalism,1586250933.3749099,405,0,0,0,0,lec_seats,1
EECS 497 - Human-Centered Software Design and Development,1586250933.6721091,95,0,0,0,0,lec_seats,1
EECS 498 - Special Topics,1586250934.105807,476,40,60,0,0,lab_seats,1
EECS 499 - Advanced Directed Study,1586250936.5028281,0,0,0,0,0,null,0
EECS 300 - Electrical Engineering Systems Design II,1586251804.888909,25,25,0,0,0,lab_seats,1
EECS 301 - Probabilistic Methods in Engineering,1586251805.280611,64,0,64,0,0,disc_seats,1
EECS 311 - Analog Circuits,1586251805.673537,30,21,0,0,0,lab_seats,1
EECS 312 - Digital Integrated Circuits,1586251806.0499609,31,0,31,0,0,disc_seats,1
"EECS 314 - Electrical Circuits, Systems and Applications",1586251806.8796039,157,157,157,0,0,lab_seats,1
EECS 320 - Introduction to Semiconductor Devices,1586251807.205557,54,0,54,0,0,disc_seats,1
EECS 330 - Introduction to Antennas and Wireless Systems,1586251807.574444,29,29,0,0,0,lab_seats,1
EECS 334 - Principles of Optics,1586251808.083759,24,0,24,0,0,disc_seats,1
EECS 351 - Introduction to Digital Signal Processing,1586251808.4933271,45,0,45,0,0,disc_seats,1
EECS 367 - Introduction to Autonomous Robotics,1586251808.8661919,56,56,0,0,0,lab_seats,1
EECS 370 - Introduction to Computer Organization,1586251809.4358678,622,0,617,0,0,disc_seats,1
EECS 373 - Introduction to Embedded System Design,1586251809.8179562,58,58,0,0,0,lab_seats,1
EECS 376 - Foundations of Computer Science,1586251810.438947,915,0,566,0,0,disc_seats,1
EECS 388 - Introduction to Computer Security,1586251810.893057,364,364,0,0,0,lab_seats,1
